sample_id,molecule_h5
MN-DS-10X-2S-Del,/project2/nobrega/zach/Embryoid-Body-10X-Pilot/data/MN-DS-10X-2S-Del/outs/molecule_info.h5
MN-DS-10X-2S-WT,/project2/nobrega/zach/Embryoid-Body-10X-Pilot/data/MN-DS-10X-2S-WT/outs/molecule_info.h5
